,1,2,3,4,5,6,7,8
0,2020-7-26 11,5,7,38,9,110,0.5,34.3
1,2020-7-26 12,8,7,40,11,118,0.5,34.8
2,2020-7-26 13,9,7,40,15,128,0.5,35.6
3,2020-7-26 14,5,6,37,14,122,0.5,36.0
4,2020-7-26 15,5,8,31,12,112,0.5,36.1
5,2020-7-26 16,5,11,30,14,96,0.5,35.4
6,2020-7-26 17,4,12,27,10,71,0.6,34.9
7,2020-7-26 18,5,12,33,9,53,0.5,33.9
8,2020-7-26 19,5,14,31,5,38,0.5,32.9
9,2020-7-26 20,5,16,27,4,28,0.5,32.5
10,2020-7-26 21,5,14,28,5,26,0.4,31.9
11,2020-7-26 22,5,14,19,2,24,0.4,31.4
12,2020-7-26 23,7,15,14,1,22,0.4,31.0
13,2020-7-27 0,5,11,15,2,26,0.4,30.6
14,2020-7-27 1,6,11,12,1,25,0.4,30.1
15,2020-7-27 2,7,13,10,0,22,0.5,29.8
16,2020-7-27 3,10,16,12,-1,20,0.4,29.6
17,2020-7-27 4,9,16,13,1,20,0.6,29.6
18,2020-7-27 5,11,18,11,1,17,0.5,29.4
19,2020-7-27 6,8,16,10,0,17,0.7,29.6
20,2020-7-27 7,6,12,17,2,23,0.6,30.3
21,2020-7-27 8,10,11,21,3,26,0.6,30.9
22,2020-7-27 9,16,12,16,4,36,0.5,31.9
23,2020-7-27 10,6,10,26,9,58,0.5,32.8
24,2020-7-27 11,5,6,27,6,78,0.5,34.0
25,2020-7-27 12,5,5,25,8,81,0.5,34.7
26,2020-7-27 13,4,5,21,5,83,0.5,35.1
27,2020-7-27 14,5,7,23,1,80,0.5,35.3
28,2020-7-27 15,5,15,20,0,76,0.5,33.2
29,2020-7-27 16,5,14,43,5,89,0.5,34.1
30,2020-7-27 17,5,17,32,8,68,0.5,34.5
31,2020-7-27 18,5,16,33,6,43,0.5,33.8
32,2020-7-27 19,5,15,28,3,35,0.5,32.8
33,2020-7-27 20,5,14,25,6,31,0.5,31.9
34,2020-7-27 21,5,13,25,6,32,0.4,31.8
35,2020-7-27 22,5,13,20,3,28,0.4,31.2
36,2020-7-27 23,5,12,13,1,26,0.4,30.6
37,2020-7-28 0,5,11,14,2,26,0.4,30.3
38,2020-7-28 1,5,10,11,4,25,0.4,30.0
39,2020-7-28 2,5,9,12,1,24,0.3,29.8
40,2020-7-28 3,4,10,11,-1,23,0.4,29.8
41,2020-7-28 4,4,10,10,0,25,0.4,29.9
42,2020-7-28 5,6,16,8,1,19,0.4,29.8
43,2020-7-28 6,6,15,10,1,18,0.5,29.6
44,2020-7-28 7,5,10,12,4,24,0.5,30.2
45,2020-7-28 8,6,7,16,2,33,0.5,31.5
46,2020-7-28 9,6,7,17,1,42,0.5,32.4
47,2020-7-28 10,5,7,19,1,60,0.5,33.2
48,2020-7-28 11,8,6,17,2,86,0.5,34.1
49,2020-7-28 12,9,8,25,3,110,0.5,34.6
50,2020-7-28 13,5,8,29,6,103,0.5,33.9
51,2020-7-28 14,7,9,33,8,100,0.5,34.9
52,2020-7-28 15,5,14,29,7,117,0.6,33.0
53,2020-7-28 16,5,11,33,9,126,0.5,34.7
