,1,9,10,11,12
0,2020-7-26 11,49,1005.3,1.9,212.7
1,2020-7-26 12,47,1004.6,1.5,189.2
2,2020-7-26 13,43,1003.6,1.4,204.5
3,2020-7-26 14,41,1002.4,2.0,156.8
4,2020-7-26 15,40,1002.0,2.3,164.3
5,2020-7-26 16,44,1001.9,2.6,152.6
6,2020-7-26 17,46,1001.6,2.7,172.1
7,2020-7-26 18,49,1001.8,2.7,183.7
8,2020-7-26 19,51,1002.3,2.8,173.5
9,2020-7-26 20,51,1002.8,2.4,168.4
10,2020-7-26 21,51,1003.5,2.6,163.4
11,2020-7-26 22,55,1004.2,2.5,170.5
12,2020-7-26 23,56,1004.3,2.1,199.5
13,2020-7-27 0,61,1004.4,2.8,169.4
14,2020-7-27 1,62,1004.0,2.4,195.2
15,2020-7-27 2,63,1003.7,2.2,194.4
16,2020-7-27 3,64,1003.4,2.0,192.8
17,2020-7-27 4,64,1003.4,1.7,187.8
18,2020-7-27 5,64,1003.4,1.7,197.6
19,2020-7-27 6,65,1003.8,2.0,163.6
20,2020-7-27 7,62,1004.2,1.6,175.1
21,2020-7-27 8,60,1004.8,1.8,219.3
22,2020-7-27 9,56,1004.7,1.8,225.0
23,2020-7-27 10,51,1004.5,2.0,228.3
24,2020-7-27 11,46,1004.1,2.2,214.6
25,2020-7-27 12,44,1003.9,2.6,212.0
26,2020-7-27 13,42,1003.4,2.2,202.1
27,2020-7-27 14,41,1002.7,1.8,176.8
28,2020-7-27 15,53,1002.2,2.9,76.7
29,2020-7-27 16,50,1001.7,2.6,77.7
30,2020-7-27 17,48,1001.6,2.4,144.8
31,2020-7-27 18,47,1001.9,3.0,165.6
32,2020-7-27 19,50,1002.6,2.9,172.6
33,2020-7-27 20,56,1003.4,3.2,152.3
34,2020-7-27 21,57,1003.5,3.7,131.0
35,2020-7-27 22,59,1004.5,3.0,160.8
36,2020-7-27 23,63,1005.2,2.5,163.4
37,2020-7-28 0,65,1004.9,2.1,182.0
38,2020-7-28 1,66,1004.5,2.7,162.5
39,2020-7-28 2,66,1004.1,3.1,158.0
40,2020-7-28 3,67,1004.6,2.0,168.9
41,2020-7-28 4,68,1004.7,1.9,162.8
42,2020-7-28 5,68,1005.2,1.5,201.7
43,2020-7-28 6,69,1005.6,1.1,220.2
44,2020-7-28 7,62,1006.0,1.0,222.8
45,2020-7-28 8,56,1006.4,1.3,206.7
46,2020-7-28 9,54,1006.4,1.3,207.4
47,2020-7-28 10,50,1006.5,1.9,193.8
48,2020-7-28 11,46,1006.0,1.7,207.5
49,2020-7-28 12,46,1005.3,2.3,208.1
50,2020-7-28 13,50,1004.7,2.3,214.4
51,2020-7-28 14,45,1004.1,1.9,95.4
52,2020-7-28 15,53,1003.2,2.6,73.8
53,2020-7-28 16,47,1002.8,1.8,109.8
54,2020-7-28 17,57,1003.0,3.8,148.5
55,2020-7-28 18,63,1003.3,2.4,145.4
56,2020-7-28 19,60,1004.0,1.9,143.2
57,2020-7-28 20,58,1005.0,2.4,161.4
58,2020-7-28 21,57,1005.7,2.6,180.7
59,2020-7-28 22,61,1006.3,2.0,194.3
60,2020-7-28 23,63,1006.2,2.2,177.3
61,2020-7-29 0,64,1005.8,2.3,158.5
62,2020-7-29 1,66,1005.1,1.7,150.5
63,2020-7-29 2,67,1004.7,1.7,196.1
64,2020-7-29 3,69,1004.6,1.5,213.7
65,2020-7-29 4,69,1004.7,1.4,243.4
66,2020-7-29 5,69,1004.8,1.3,261.2
67,2020-7-29 6,69,1005.3,1.1,248.3
68,2020-7-29 7,64,1005.9,1.5,220.1
69,2020-7-29 8,58,1006.1,1.1,224.9
70,2020-7-29 9,55,1006.4,1.3,231.8
71,2020-7-29 10,48,1006.2,1.3,257.8
72,2020-7-29 11,45,1005.7,1.5,293.9
73,2020-7-29 12,42,1005.1,1.4,318.7
74,2020-7-29 13,38,1004.0,1.3,295.9
75,2020-7-29 14,36,1003.1,1.6,303.2
76,2020-7-29 15,34,1003.0,2.5,248.0
77,2020-7-29 16,44,1002.8,3.2,171.6
78,2020-7-29 17,52,1002.8,4.0,149.6
79,2020-7-29 18,54,1003.7,2.3,142.1
80,2020-7-29 19,59,1004.6,2.0,79.1
81,2020-7-29 20,64,1005.3,2.0,84.4
82,2020-7-29 21,64,1005.6,2.0,77.9
83,2020-7-29 22,64,1006.0,2.1,81.5
84,2020-7-29 23,63,1006.0,1.5,109.8
85,2020-7-30 0,66,1005.9,1.9,86.4
86,2020-7-30 1,68,1005.4,1.7,53.7
87,2020-7-30 2,74,1005.2,1.0,330.0
88,2020-7-30 3,69,1005.2,1.9,66.1
89,2020-7-30 4,70,1005.3,1.6,65.9
90,2020-7-30 5,70,1005.2,2.0,63.3
91,2020-7-30 6,70,1005.4,1.8,37.1
92,2020-7-30 7,67,1005.6,2.4,28.3
93,2020-7-30 8,63,1005.9,2.4,22.5
94,2020-7-30 9,56,1006.2,2.1,52.2
95,2020-7-30 10,51,1006.1,2.3,61.1
96,2020-7-30 11,49,1005.6,2.3,25.8
97,2020-7-30 12,46,1005.1,2.6,34.7
98,2020-7-30 13,44,1004.4,2.1,55.0
99,2020-7-30 14,43,1003.3,2.3,70.7
100,2020-7-30 15,51,1003.0,2.9,114.9
101,2020-7-30 16,54,1003.0,2.3,151.9
102,2020-7-30 17,53,1002.7,1.5,152.0
103,2020-7-30 18,51,1002.6,1.4,148.9
104,2020-7-30 19,50,1003.9,1.8,119.8
105,2020-7-30 20,58,1004.8,1.5,125.5
106,2020-7-30 21,61,1005.2,1.5,97.0
107,2020-7-30 22,62,1005.1,1.6,48.9
