,1,8,9,10,11
0,2020-7-23 0,28.3,71.956,2.3,178.0
1,2020-7-23 1,28.0,73.352,1.6,182.0
2,2020-7-23 2,28.0,73.548,1.7,172.0
3,2020-7-23 3,27.8,75.101,1.3,159.0
4,2020-7-23 4,27.1,78.152,2.1,170.0
5,2020-7-23 5,26.2,79.228,0.8,180.0
6,2020-7-23 6,28.0,76.383,0.9,180.0
7,2020-7-23 7,30.8,69.898,1.0,216.0
8,2020-7-23 8,31.3,64.957,1.2,261.0
9,2020-7-23 9,33.2,54.436,1.0,15.0
10,2020-7-23 10,35.4,51.132,1.4,246.0
11,2020-7-23 11,36.1,48.551,1.5,177.0
12,2020-7-23 12,35.9,48.3,1.6,178.0
13,2020-7-23 13,36.3,45.827,1.7,174.0
14,2020-7-23 14,36.5,44.207,2.2,165.0
15,2020-7-23 15,36.6,43.649,2.6,170.0
16,2020-7-23 16,36.5,44.169,2.2,177.0
17,2020-7-23 17,34.7,52.025,3.3,168.0
18,2020-7-23 18,32.8,56.773,3.1,171.0
19,2020-7-23 19,31.6,60.349,2.8,169.0
20,2020-7-23 20,30.6,62.692,3.2,169.0
21,2020-7-23 21,29.9,64.155,3.0,170.0
22,2020-7-23 22,29.4,66.623,1.9,164.0
23,2020-7-23 23,29.1,66.865,2.2,168.0
24,2020-7-24 0,28.7,70.411,1.3,149.0
25,2020-7-24 1,28.5,72.862,1.1,250.0
26,2020-7-24 2,28.1,73.229,1.3,276.0
27,2020-7-24 3,27.8,74.301,0.9,17.0
28,2020-7-24 4,27.6,74.742,0.8,28.0
29,2020-7-24 5,27.5,75.941,1.1,265.0
30,2020-7-24 6,28.5,73.764,0.9,288.0
31,2020-7-24 7,31.0,64.875,0.9,356.0
32,2020-7-24 8,32.1,61.056,1.5,269.0
33,2020-7-24 9,33.1,55.573,1.6,158.0
34,2020-7-24 10,34.9,51.801,1.7,266.0
35,2020-7-24 11,36.5,47.149,1.7,252.0
36,2020-7-24 12,35.7,47.293,1.7,164.0
37,2020-7-24 13,36.9,45.039,1.4,166.0
