index,time,place,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,2021/7/13 0:00,A,29.2888,303.284,0.0188668,69.2701,3.56274,185.93,0,0.0159799,668.99,100.693,15.332,0.975764,425.464,0,0,6.73234,26.8377,7.71109,5.3817,0.0115323,0.311734
1,2021/7/13 1:00,A,29.0344,302.894,0.0188267,70.2078,3.72649,187.076,0,0.0143243,583.845,100.676,13.1809,0.965678,426.919,0,0,4.09957,25.6596,7.04507,4.76962,0.0240367,0.293062
2,2021/7/13 2:00,A,28.7594,302.46,0.0191032,72.4598,3.44374,181.234,0,0.0227986,519.72,100.671,9.45429,0.761164,421.494,0,0,3.674,25.448,6.78217,4.51052,0.0343146,0.292159
3,2021/7/13 3:00,A,28.5811,302.177,0.0194425,74.5583,3.29525,183.259,0,0.0261663,467.657,100.66,7.29238,0.649817,422.513,0,0,3.66366,25.7297,7.22437,4.65097,0.0806504,0.301029
4,2021/7/13 4:00,A,28.3925,301.869,0.0197251,76.5425,3.32493,184.781,0,0.0312602,384.344,100.672,5.30148,0.537449,420.9,0,0,3.87696,26.3176,8.38276,5.32852,0.0348572,0.275404
5,2021/7/13 5:00,A,28.2156,301.578,0.0196633,77.1726,2.6044,186.011,0,0.586185,335.741,100.705,2.70253,0.386027,418.773,0,0,3.88988,27.4494,11.1574,6.83249,0.00908769,0.223871
6,2021/7/13 6:00,A,28.05,301.423,0.0193228,76.6487,1.98937,190.194,0,0.218884,231.127,100.74,2.61144,0.47457,419.69,2.05209,2.46584,4.3591,27.9786,17.1583,10.2992,1.10995,0.249637
7,2021/7/13 7:00,A,28.515,303.745,0.0187095,72.1155,2.49466,200.626,0,0.0262866,461.875,100.758,32.5207,9.83786,419.909,139.102,167.149,5.34285,26.0455,13.9339,9.00088,4.51374,0.249309
8,2021/7/13 8:00,A,29.2887,307.574,0.018683,68.6585,2.58491,195.934,0,0.0367665,757.599,100.781,95.3432,22.2209,421.947,334.243,401.635,5.0084,23.613,10.8553,7.06983,9.60323,0.244586
9,2021/7/13 9:00,A,29.2887,307.574,0.018683,68.6585,2.58491,195.934,0,0.0367665,757.599,100.781,95.3432,22.2209,421.947,334.243,401.635,4.92901,23.336,11.2134,7.53107,15.675,0.238431
10,2021/7/13 10:00,A,30.2738,311.665,0.0184578,63.8415,2.47948,196.823,0,0.0555647,911.828,100.803,165.437,34.6783,425.766,519.802,624.608,4.65418,25.5474,9.92592,6.8636,27.6133,0.219239
11,2021/7/13 11:00,A,31.4489,315.486,0.0176988,56.9339,2.51049,191.466,0,0.0958362,1078.92,100.779,233.232,46.9589,429.472,683.372,821.158,4.85723,30.1276,8.67102,6.1895,44.4491,0.224291
12,2021/7/13 12:00,A,32.593,318.829,0.0167043,50.0636,2.12439,195.07,0,0.0639909,1431.51,100.713,279.689,56.1044,436.044,794.238,954.378,4.66809,27.5836,10.6149,7.97127,69.1067,0.201787
13,2021/7/13 13:00,A,33.6971,321.104,0.0151119,42.3104,2.2511,158.585,0,0.0894111,1628.63,100.645,316.18,63.1506,436.485,861.749,1035.5,4.51392,26.4006,9.845,7.63238,81.1958,0.197204
14,2021/7/13 14:00,A,34.8287,322.281,0.01419,37.0605,2.65388,164.984,0,0.0894995,1870.68,100.575,333.173,65.7002,441.574,859.711,1033.05,3.18067,21.009,9.52993,7.63764,94.5535,0.17791
15,2021/7/13 15:00,A,35.6948,322.643,0.0138149,34.2107,3.12648,183.409,0,0.0652011,2000.93,100.507,336.89,64.9182,443.486,819.661,984.927,2.64418,24.1009,8.06353,6.3615,94.7206,0.182459
16,2021/7/13 16:00,A,36.3148,322.246,0.0138966,33.1257,2.8274,195.564,0,0.0484865,2166.1,100.449,296.696,58.6071,448.348,718.611,863.502,2.18014,27.4822,6.95426,5.32691,84.6376,0.172773
17,2021/7/13 17:00,A,36.5161,320.125,0.0139551,32.8532,2.97887,209.137,0,0.0451414,2234.08,100.421,237.634,46.3623,453.464,519.479,624.219,2.23405,29.6693,7.13827,5.37164,58.302,0.161516
18,2021/7/13 18:00,A,35.7814,315.514,0.015917,39.1766,5.18875,203.419,0,0.024999,2043.85,100.426,184.512,31.0459,459.272,267.393,321.306,2.92331,34.1324,6.53468,4.68364,28.4951,0.165705
