,1,2,3,4,5,6,7,8,9,10,11,12
11136,2020-7-23 0,15,15,24,8,33,0.5,28.3,71.956,2.3,178,0
11137,2020-7-23 1,9,16,18,5,27,0.5,28,73.352,1.6,182,0
11138,2020-7-23 2,9,16,20,7,27,0.5,28,73.548,1.7,172,0
11139,2020-7-23 3,9,13,13,5,29,0.5,27.8,75.101,1.3,159,0
11140,2020-7-23 4,10,11,16,3,29,0.4,27.1,78.152,2.1,170,0
11141,2020-7-23 5,8,10,12,3,27,0.4,26.2,79.228,0.8,180,0
11142,2020-7-23 6,10,18,8,1,19,0.5,28,76.383,0.9,180,0
11143,2020-7-23 7,12,18,8,2,23,0.5,30.8,69.898,1,216,0
11144,2020-7-23 8,12,14,13,10,29,0.6,31.3,64.957,1.2,261,0
11145,2020-7-23 9,10,13,19,7,43,0.5,33.2,54.436,1,15,0
11146,2020-7-23 10,9,13,24,10,63,0.5,35.4,51.132,1.4,246,0
11147,2020-7-23 11,9,11,19,6,103,0.5,36.1,48.551,1.5,177,0
11148,2020-7-23 12,9,10,25,10,129,0.5,35.9,48.3,1.6,178,0
11149,2020-7-23 13,8,8,30,11,129,0.5,36.3,45.827,1.7,174,0
11150,2020-7-23 14,9,12,26,11,134,0.5,36.5,44.207,2.2,165,0
11151,2020-7-23 15,9,14,27,8,117,0.4,36.6,43.649,2.6,170,0
11152,2020-7-23 16,9,12,19,11,129,0.4,36.5,44.169,2.2,177,0
11153,2020-7-23 17,11,23,20,13,123,0.5,34.7,52.025,3.3,168,0
11154,2020-7-23 18,11,18,37,10,101,0.6,32.8,56.773,3.1,171,0
11155,2020-7-23 19,12,17,35,12,69,0.6,31.6,60.349,2.8,169,0
11156,2020-7-23 20,13,16,31,7,41,0.6,30.6,62.692,3.2,169,0
11157,2020-7-23 21,14,17,25,11,26,0.6,29.9,64.155,3,170,0
11158,2020-7-23 22,12,16,15,6,22,0.5,29.4,66.623,1.9,164,0
11159,2020-7-23 23,11,11,17,6,24,0.4,29.1,66.865,2.2,168,0
11160,2020-7-24 0,8,10,16,5,24,0.4,28.7,70.411,1.3,149,0
11161,2020-7-24 1,7,12,14,3,23,0.4,28.5,72.862,1.1,250,0
11162,2020-7-24 2,8,8,12,2,25,0.4,28.1,73.229,1.3,276,0
11163,2020-7-24 3,8,7,9,1,26,0.4,27.8,74.301,0.9,17,0
11164,2020-7-24 4,8,8,7,4,26,0.4,27.6,74.742,0.8,28,0
11165,2020-7-24 5,10,17,14,5,17,0.4,27.5,75.941,1.1,265,0
11166,2020-7-24 6,9,17,16,5,17,0.5,28.5,73.764,0.9,288,0
11167,2020-7-24 7,9,13,15,6,23,0.5,31,64.875,0.9,356,0
11168,2020-7-24 8,9,7,15,2,32,0.5,32.1,61.056,1.5,269,0
11169,2020-7-24 9,8,8,14,2,49,0.5,33.1,55.573,1.6,158,0
11170,2020-7-24 10,9,7,16,2,69,0.4,34.9,51.801,1.7,266,0
11171,2020-7-24 11,8,7,16,2,79,0.4,36.5,47.149,1.7,252,0
11172,2020-7-24 12,9,7,21,2,96,0.4,35.7,47.293,1.7,164,0
11173,2020-7-24 13,8,5,17,2,101,0.4,36.9,45.039,1.4,166,0
11174,2020-7-24 14,8,6,17,6,104,0.4,37.4,43.85,1.6,170,0
11175,2020-7-24 15,8,8,18,4,98,0.4,37.7,41.675,1.4,187,0
11176,2020-7-24 16,8,6,17,2,109,0.4,38.3,41.197,1.4,232,0
11177,2020-7-24 17,8,9,26,3,122,0.4,37.8,42.23,1.3,212,0
11178,2020-7-24 18,9,13,29,6,141,0.5,35.8,46.638,1.2,170,0
11179,2020-7-24 19,10,24,38,12,104,0.6,33.6,54.25,2.1,165,0
11180,2020-7-24 20,12,19,45,13,50,0.5,31.9,61.646,3.3,176,0
11181,2020-7-24 21,12,19,29,10,29,0.5,30.9,66.312,2.8,170,0
11182,2020-7-24 22,12,20,22,8,22,0.5,30.3,69.549,1.9,172,0
11183,2020-7-24 23,9,15,22,3,23,0.5,30.1,69.505,1.3,143,0
11184,2020-7-25 0,9,15,21,1,20,0.5,29.6,68.656,1.3,284,0
11185,2020-7-25 1,9,16,16,2,22,0.4,29.3,65.67,1.6,264,0
11186,2020-7-25 2,9,11,11,2,25,0.4,28.7,68.889,1.2,264,0
11187,2020-7-25 3,8,7,9,1,28,0.4,28.3,70.942,1,350,0
11188,2020-7-25 4,10,12,10,2,22,0.5,28.1,73.098,1.4,274,0
