,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,2020-7-23 0,29.9762,303.877,0.0183645,64.6532,4.46483,174.838,0,0.0739111,681.452,100.74,16.1245,1.18531,429.307,0,0,1.33715,14.6797,6.17065,3.95245,14.7591,0.108551
1,2020-7-23 1,29.7668,303.599,0.0179524,64.035,3.48965,179.033,0,0.0600996,670.201,100.756,11.9784,1.10973,430.623,0,0,0.929589,11.0719,5.83349,3.75514,16.9613,0.0980358
2,2020-7-23 2,29.5957,303.361,0.0180156,64.9442,3.04361,176.553,0,0.38763,620.388,100.757,9.63418,1.0305,432.129,0,0,0.637446,9.77147,5.95408,3.76302,16.6288,0.0946527
3,2020-7-23 3,29.4315,303.401,0.0186451,67.8964,2.62894,184.627,0.159695,0.893735,610.821,100.752,11.8439,3.56814,453.928,0,0,0.295613,8.15034,5.23196,3.33438,17.4612,0.091577
4,2020-7-23 4,28.3425,302.557,0.019733,76.8982,3.26999,181.568,0.251431,0.715608,274.286,100.781,18.4677,3.88491,454.352,0,0,0.386841,10.7183,5.59129,3.39686,12.9441,0.0949965
5,2020-7-23 5,27.8563,301.768,0.0201384,80.9153,1.59203,177.045,0.0267534,0.560338,183.605,100.815,8.90521,1.27305,427.044,0,0,0.746933,16.7923,6.97223,3.96374,6.92253,0.104096
6,2020-7-23 6,28.046,301.666,0.0201315,79.9598,0.565601,240.205,0,0.503119,221.5,100.841,5.49351,0.844331,430.279,0,0,1.71094,20.4319,8.94924,5.00922,2.99469,0.128525
7,2020-7-23 7,28.8601,304.408,0.0197312,74.5271,1.6399,200.132,0.242119,0.286315,558.414,100.868,31.1825,10.0584,429.843,132.4,159.096,5.87888,16.5308,10.7573,6.31416,8.75756,0.144168
8,2020-7-23 8,30.1549,308.164,0.0171694,59.8768,2.91935,190.284,0,0.505611,701.894,100.891,94.6342,26.3707,431.002,326.146,391.906,5.12498,12.005,8.9474,5.43122,17.4664,0.130772
9,2020-7-23 9,30.1549,308.164,0.0171694,59.8768,2.91935,190.284,0,0.505611,701.894,100.891,94.6342,26.3707,431.002,326.146,391.906,4.32064,10.6457,8.64569,5.57822,28.3133,0.124174
10,2020-7-23 10,31.1996,312.045,0.0157877,51.6389,3.27321,184.725,0,0.394681,892.591,100.909,171.359,39.3881,429.911,521.157,626.236,2.9134,9.13791,8.8975,6.01151,48.6739,0.11837
11,2020-7-23 11,32.2924,315.696,0.0145364,44.4572,3.2306,182.825,0,0.0582371,1145.42,100.891,239.08,50.8372,430.348,682.798,820.468,2.20902,6.97163,8.78132,6.21572,69.3778,0.11397
12,2020-7-23 12,33.2328,318.593,0.0142726,41.1982,3.17966,185.278,0,0.0703749,1306.46,100.856,292.235,58.8761,435.499,789.261,948.397,2.30503,5.9376,8.29652,6.11584,85.0253,0.112046
13,2020-7-23 13,34.2109,320.943,0.0139417,37.8942,3.14143,187.955,0,0.0252336,1568.25,100.8,330.777,64.758,435.615,863.951,1038.15,2.51762,5.88621,7.65884,5.84356,94.0657,0.110392
14,2020-7-23 14,35.1919,322.263,0.0133301,34.1101,3.34986,198.694,0,0.0117667,1772.63,100.725,349.111,67.1156,434.584,875.607,1052.15,2.49541,5.8657,6.82158,5.31385,101.326,0.11136
15,2020-7-23 15,36.0321,322.52,0.0129904,31.5705,3.7817,197.949,0,0,1814.96,100.661,348.017,65.7355,436.73,827.812,994.721,2.454,6.32532,6.30906,4.92899,102.358,0.112681
16,2020-7-23 16,36.3002,321.564,0.0144323,34.4949,4.27341,197.402,0,0,1893.13,100.617,329.322,59.3854,444.693,724.007,869.986,1.78821,6.91512,5.85824,4.52148,101.032,0.113223
17,2020-7-23 17,36.269,319.77,0.0152973,36.6243,4.5625,186.394,0,0.0238945,1847.97,100.6,284.303,50.0542,450.655,576,692.137,2.21105,9.71087,5.9816,4.42952,90.4439,0.116254
