,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,2020-7-26 11,32.26352,313.7535,0.01787701,54.94687,4.732089,226.4297,0,0.15603398,973.8337,100.61,226.6494,42.63035,443.0878,591.7167,711.0225,2.050692,4.437067,9.349036,6.218105,76.03954,0.129682
1,2020-7-26 12,33.49106,317.3131,0.01678637,47.79166,4.456713,228.3124,0,0.09711901,1224.901,100.5552,289.0995,53.57669,438.6052,746.5609,897.0871,1.849554,3.651044,8.994009,6.13505,85.20487,0.1262494
2,2020-7-26 13,34.56173,319.6031,0.01589368,42.37365,4.328325,230.2398,0,0.08666674,1514.343,100.4885,322.6089,59.02412,444.1702,803.1949,965.1426,1.634432,3.534449,8.630294,5.961368,87.98707,0.1242315
3,2020-7-26 14,35.49567,321.0584,0.01572708,39.51166,4.605423,234.7451,0,0.09760542,1711.084,100.4081,350.2517,61.8396,450.702,821.0537,986.6026,1.4068635,3.801674,8.353318,5.875372,88.12687,0.1278304
4,2020-7-26 15,36.21553,321.7547,0.01627503,39.04608,4.864781,235.3001,0,0.09189073,1849.113,100.3248,359.2987,61.60127,457.104,803.7354,965.7906,0.8373332,4.646411,6.723808,4.637559,71.18343,0.1251884
5,2020-7-26 16,36.40116,321.2515,0.01740793,41.19615,5.133311,199.0496,0.0431835,0.09100926,1916.546,100.2563,346.5629,56.90247,461.2318,728.3168,875.1649,0.7109298,5.206176,5.922742,3.764657,53.67394,0.1236934
6,2020-7-26 17,36.43219,319.6922,0.01743374,41.17528,5.015975,209.9743,2.234967,0.09358041,1879.109,100.2391,290.3725,54.58743,462.5542,585.6896,703.7802,0.8519544,5.75046,6.925385,4.042379,36.51877,0.1213783
7,2020-7-26 18,35.82401,315.4993,0.01810729,44.37744,5.574359,200.3546,1.950103,0.5323832,1711.626,100.2633,190.848,39.5958,470.4193,272.9993,328.0437,0.8873796,6.901942,7.670388,4.31159,24.67929,0.1164773
8,2020-7-26 19,34.95964,312.9401,0.01853571,47.96185,6.700473,187.2655,1.033124,0.4081242,1423.77,100.3219,156.1515,29.63571,460.4055,205.6538,247.1188,0.8347178,7.973457,7.526802,4.124087,15.39827,0.1114994
9,2020-7-26 20,33.54612,309.507,0.01900133,53.61931,7.355856,189.54,0,0.05892699,929.9064,100.3624,94.87116,13.118389,453.9221,48.11114,57.81154,0.8892436,8.736432,8.092133,4.362703,10.728799,0.1146653
10,2020-7-26 21,32.39298,307.562,0.01945259,58.9367,6.930468,193.5281,0,0.08932933,736.5706,100.433,64.0381,4.233707,447.7232,4.74318,5.69955,0.9819189,9.256097,8.60079,4.60831,9.838241,0.1169708
11,2020-7-26 22,31.45452,306.2807,0.01976229,63.36577,6.829784,194.3602,0,0.08265815,640.8867,100.4664,52.30462,1.708399,441.8422,0,0,1.010668,8.640727,8.869085,4.715886,11.398248,0.1168657
12,2020-7-26 23,30.88144,305.5142,0.01945027,64.59484,6.257373,196.6483,0,0.1507619,616.1535,100.4855,42.90535,1.333473,440.1745,0,0,1.0611029,8.491633,8.641765,4.574941,11.57662,0.1151381
13,2020-7-27 0,29.92436,304.1322,0.01921188,67.65017,5.535215,196.8736,0,0.05574247,513.6533,100.4576,27.43132,0.9983216,428.2589,0,0,1.1160991,8.5973,6.943001,3.762327,10.018439,0.1059875
14,2020-7-27 1,29.66099,303.7297,0.01898517,67.91803,5.315454,197.4838,0,0.07424237,434.585,100.4407,22.94081,0.9743819,428.5707,0,0,0.8802771,7.025984,6.127808,3.272591,11.97625,0.09442914
15,2020-7-27 2,29.45163,303.3796,0.01891912,68.53408,4.698852,199.2044,0,0.05754829,405.322,100.4206,17.5424,0.8814794,426.2892,0,0,0.8449477,7.239,6.353747,3.425911,12.16532,0.09513672
16,2020-7-27 3,29.22558,303.0129,0.01890474,69.43524,4.174655,198.7666,0,0.0626722,371.5269,100.415,13.207017,0.7733992,423.0433,0,0,0.8493756,7.722232,6.491589,3.48095,12.09365,0.09713657
17,2020-7-27 4,29.00312,302.755,0.01905382,70.96114,3.606649,198.021,0,0.17331178,313.5387,100.4268,10.934411,0.6930954,425.1892,0,0,0.8170228,8.251293,7.27447,3.872271,11.85594,0.09900685
18,2020-7-27 5,28.78544,302.417,0.01932249,72.94457,3.482415,195.8608,0,0.2069208,253.5988,100.446,8.433967,0.5862083,422.3156,0,0,0.7856415,8.793039,9.179698,4.8974,11.90787,0.10049805
19,2020-7-27 6,28.65477,302.1964,0.01991646,75.8655,3.288907,196.7638,0,0.43898216,221.6847,100.4882,6.419879,0.4735804,423.2737,0,0,0.9220697,8.931161,10.93566,5.876466,13.25439,0.1104214
20,2020-7-27 7,29.0513,303.8168,0.02018125,75.07064,3.50856,205.5047,0,0.5409115,455.465,100.5295,30.922046,7.113973,426.3429,100.8098,121.1357,1.169205,6.711585,10.296,5.626539,17.64247,0.121238
21,2020-7-27 8,29.87448,307.0043,0.02035389,71.98466,3.816958,212.4356,0.000237179,0.352518,730.9418,100.5624,87.99892,18.02942,444.9645,258.8924,311.0918,1.991355,7.129958,10.94399,6.163563,20.74561,0.1433821
22,2020-7-27 9,30.04521,307.7723,0.0202677,70.92509,4.074127,214.4765,0.02628294,0.4777227,753.4094,100.5714,105.8887,21.31247,452.8539,294.9392,354.407,2.312594,8.320195,10.87695,6.275103,27.4034,0.1484095
