,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,2020/7/23,2020-7-23 0,29.1143,302.859,0.019923,73.8026,4.759,144.959,0.0,0.0516516,648.268,100.511,13.326,0.608108,430.665,0.0,0.0
1,2020/7/23,2020-7-23 1,28.989,302.627,0.0200024,74.6732,4.07305,146.963,0.0,1.0,545.552,100.509,9.53918,0.52389,430.209,0.0,0.0
2,2020/7/23,2020-7-23 2,28.8671,302.767,0.0198865,74.8061,3.70429,160.35,0.0,0.855433,172.002,100.513,13.8309,0.687334,451.661,0.0,0.0
3,2020/7/23,2020-7-23 3,28.2083,301.977,0.0203681,79.8176,2.50681,166.46,0.724568,0.862198,87.1468,100.514,8.37547,1.81134,429.647,0.0,0.0
4,2020/7/23,2020-7-23 4,27.6341,301.421,0.0204589,83.1133,1.8165,149.578,3.71218,0.872415,54.2559,100.541,7.43824,0.786867,425.87,0.0,0.0
5,2020/7/23,2020-7-23 5,27.7211,301.217,0.0203825,82.3733,1.6847,158.036,0.0,0.531341,36.9188,100.562,4.03778,0.439338,423.791,0.0,0.0
6,2020/7/23,2020-7-23 6,27.3115,300.81,0.0199517,82.7519,1.38416,209.337,0.166838,0.712937,27.0889,100.602,4.084,0.431455,422.965,1.62109,1.94794
7,2020/7/23,2020-7-23 7,28.0094,303.602,0.0196882,78.2109,1.56105,176.785,1.16545,0.741449,219.418,100.635,30.8608,9.41031,426.874,136.999,164.622
8,2020/7/23,2020-7-23 8,28.984,307.414,0.0194105,72.596,1.3373,181.781,4.61824,0.772891,515.685,100.655,77.2409,22.0532,435.38,315.782,379.452
9,2020/7/23,2020-7-23 9,28.984,307.414,0.0194105,72.596,1.3373,181.781,4.61824,0.772891,515.685,100.655,77.2409,22.0532,435.38,315.782,379.452
10,2020/7/23,2020-7-23 10,29.1973,309.333,0.0197487,72.9013,3.88581,197.074,2.9067,0.843458,714.13,100.669,167.671,33.4903,438.735,442.745,532.014
11,2020/7/23,2020-7-23 11,30.2339,314.722,0.0190179,65.8508,0.72987,145.078,1.05472,0.613395,870.839,100.672,196.939,46.9379,435.377,675.707,811.947
12,2020/7/23,2020-7-23 12,30.161,314.934,0.0187908,65.343,2.5849,172.223,2.73294,0.933398,663.643,100.651,253.457,48.9068,457.047,646.308,776.62
13,2020/7/23,2020-7-23 13,31.6534,317.999,0.0185682,58.8736,3.79968,156.401,3.83e-05,0.354219,1037.01,100.597,344.663,61.0562,439.304,862.604,1036.53
14,2020/7/23,2020-7-23 14,32.0675,319.283,0.0184253,56.9227,3.80115,143.939,0.0,0.197126,1029.12,100.54,370.741,60.7278,438.014,870.243,1045.71
15,2020/7/23,2020-7-23 15,32.2333,318.867,0.0191311,58.4782,4.48774,142.144,0.0,0.149919,1059.48,100.494,381.641,57.2039,439.872,813.296,977.278
16,2020/7/23,2020-7-23 16,32.1808,317.653,0.0195998,60.0846,4.65263,135.688,0.0,0.0110223,1006.62,100.464,350.621,49.5503,441.976,695.457,835.68
17,2020/7/23,2020-7-23 17,32.4814,315.935,0.0197973,59.5666,4.74065,146.826,0.0,0.0122775,1000.61,100.436,288.992,40.1827,442.924,539.457,648.226
18,2020/7/23,2020-7-23 18,32.162,313.295,0.0189592,58.1818,5.21578,184.602,0.0,0.0171526,806.668,100.454,229.272,30.4702,437.399,373.533,448.848
19,2020/7/23,2020-7-23 19,31.3134,309.902,0.0185835,60.0993,5.10109,181.821,0.0,0.0221303,624.831,100.493,148.188,17.5175,430.664,181.684,218.317
20,2020/7/23,2020-7-23 20,30.069,306.198,0.0187958,65.6473,4.84085,173.317,0.0,0.0283008,391.477,100.526,74.2561,3.10391,422.93,11.9539,14.3641
21,2020/7/23,2020-7-23 21,29.222,304.58,0.0197698,72.7839,4.5094,166.803,0.0,0.0325361,321.176,100.558,51.1399,0.742091,419.196,0.0,0.0
22,2020/7/23,2020-7-23 22,28.901,303.875,0.0201516,75.6884,3.87041,166.049,0.0,0.053587,305.656,100.569,37.2728,0.563752,420.214,0.0,0.0
23,2020/7/23,2020-7-23 23,28.6819,303.465,0.0201086,76.5503,2.87166,160.353,0.0,0.0471113,206.05,100.557,26.889,0.456526,421.337,0.0,0.0
24,2020/7/23,2020-7-24 0,28.4225,303.111,0.0198284,76.7002,1.8104,165.303,0.0,0.074335,169.25,100.546,18.9465,0.373792,421.52,0.0,0.0
25,2020/7/23,2020-7-24 1,28.1805,302.539,0.0196435,77.1248,1.06173,151.76,0.0,0.278142,158.966,100.531,14.0559,0.295738,422.344,0.0,0.0
26,2020/7/23,2020-7-24 2,28.1403,302.298,0.01978,77.8503,1.17997,147.092,0.0,0.0974891,166.831,100.526,11.7282,0.259935,422.44,0.0,0.0
27,2020/7/23,2020-7-24 3,27.7911,301.818,0.0195843,78.7706,0.833144,156.551,0.0,0.326787,127.07,100.523,10.2276,0.204936,421.528,0.0,0.0
28,2020/7/23,2020-7-24 4,27.5539,301.474,0.0195948,79.9751,0.794796,174.241,0.0,0.485074,79.399,100.509,8.98407,0.162991,421.247,0.0,0.0
29,2020/7/23,2020-7-24 5,27.877,301.539,0.0195445,78.2058,0.433335,238.485,0.0,0.171349,104.568,100.54,5.97019,0.124414,421.693,0.0,0.0
30,2020/7/23,2020-7-24 6,28.0743,301.568,0.0191007,75.5231,0.938661,23.5282,0.0,0.160994,252.611,100.574,4.0176,0.0554349,421.116,0.0,0.0
31,2020/7/23,2020-7-24 7,27.8727,301.319,0.0182229,72.9819,1.33023,319.248,0.0,0.16637,311.306,100.599,3.46007,0.266773,418.158,1.06491,1.27963
32,2020/7/23,2020-7-24 8,28.3867,304.143,0.0172892,67.1083,0.527044,268.705,0.0,0.129671,296.656,100.663,30.1952,10.0225,416.727,160.83,193.257
33,2020/7/23,2020-7-24 9,30.1282,308.942,0.0165538,57.6897,1.73217,252.125,0.0,0.0,708.832,100.666,91.3606,24.6481,420.308,361.449,434.327
34,2020/7/23,2020-7-24 10,30.1282,308.942,0.0165538,57.6897,1.73217,252.125,0.0,0.0,708.832,100.666,91.3606,24.6481,420.308,361.449,434.327
35,2020/7/23,2020-7-24 11,31.0779,313.215,0.017633,57.9652,1.597,258.401,0.0,0.0132908,952.351,100.673,160.5,35.8434,424.33,544.09,653.793
36,2020/7/23,2020-7-24 12,31.9989,316.543,0.0178548,55.4561,2.19216,239.223,0.0,0.0,1193.57,100.65,236.263,47.1941,432.525,699.699,840.777
37,2020/7/23,2020-7-24 13,32.7566,319.345,0.018755,55.574,2.33866,241.697,0.0,0.303451,1315.86,100.582,295.25,54.3714,441.937,802.961,964.86
38,2020/7/23,2020-7-24 14,33.3009,321.859,0.0185147,53.0268,1.52479,139.798,0.0,0.34,1391.84,100.506,319.282,58.7138,458.715,853.759,1025.9
39,2020/7/23,2020-7-24 15,33.1964,315.465,0.0193301,55.6734,4.75275,82.7137,0.0,1.0,990.364,100.433,251.437,33.5286,475.658,392.612,471.774
40,2020/7/23,2020-7-24 16,34.2882,317.441,0.018674,50.2773,0.715555,205.945,0.0,1.0,1440.15,100.345,169.085,30.2123,480.214,370.74,445.491
41,2020/7/23,2020-7-24 17,34.2695,317.678,0.0192322,51.814,5.45521,200.065,0.0,0.142688,1224.93,100.299,309.85,47.3949,458.037,606.538,728.832
42,2020/7/23,2020-7-24 18,33.4251,315.054,0.0192586,54.6181,5.74127,194.214,0.0,0.239625,660.47,100.292,258.195,36.4607,452.832,444.125,533.673
43,2020/7/23,2020-7-24 19,32.7173,312.247,0.017782,52.6629,5.9239,190.598,0.0,0.151302,452.153,100.303,193.191,27.1509,446.776,284.634,342.024
44,2020/7/23,2020-7-24 20,31.6362,308.945,0.016712,52.8943,5.98533,185.107,0.0,0.0935221,310.005,100.327,122.888,16.0714,438.089,121.304,145.762
45,2020/7/23,2020-7-24 21,30.2483,306.0,0.0170632,58.8344,5.35082,184.843,0.0,0.017733,185.205,100.353,68.6881,3.51315,428.643,9.34787,11.2326
46,2020/7/23,2020-7-24 22,29.709,304.896,0.0171182,61.0466,4.06151,190.989,0.0,0.0,165.893,100.392,43.2378,1.16915,423.878,0.0,0.0
47,2020/7/23,2020-7-24 23,29.495,304.444,0.0174713,63.146,2.61481,211.482,0.0,0.0,161.488,100.408,28.1076,0.907301,423.351,0.0,0.0
48,2020/7/23,2020-7-25 0,29.0782,303.926,0.0183043,67.8754,1.78312,202.76,0.0,0.0,185.616,100.393,21.0983,0.651265,423.015,0.0,0.0
49,2020/7/23,2020-7-25 1,28.8438,303.239,0.0187056,70.3736,0.532801,259.368,0.0,0.0,197.361,100.387,14.425,0.428673,422.543,0.0,0.0
50,2020/7/23,2020-7-25 2,28.6313,302.888,0.0196788,75.0111,0.71102,287.303,0.0,0.0,206.778,100.379,12.8332,0.295736,423.876,0.0,0.0
51,2020/7/23,2020-7-25 3,28.5892,302.79,0.0197524,75.4832,2.55603,253.488,0.0,0.0,221.126,100.372,15.1552,0.42023,422.875,0.0,0.0
52,2020/7/23,2020-7-25 4,28.561,302.427,0.018061,69.1375,3.23598,248.547,0.0,0.0,140.388,100.368,11.8295,0.68943,420.785,0.0,0.0
53,2020/7/23,2020-7-25 5,28.5389,302.205,0.0164843,63.1846,2.78981,252.438,0.0,0.0,90.1008,100.362,7.39509,0.812568,418.981,0.0,0.0
54,2020/7/23,2020-7-25 6,28.2961,301.862,0.0154557,60.1562,1.7881,256.826,0.0,0.0,79.7083,100.385,4.8353,0.685411,415.386,0.0,0.0
55,2020/7/23,2020-7-25 7,28.4974,301.827,0.0153537,59.0342,2.59801,259.632,0.0,0.0,453.098,100.413,2.1728,0.787139,415.606,0.0,0.0
56,2020/7/23,2020-7-25 8,28.2502,301.634,0.0167323,65.3437,2.45029,261.759,0.0,0.0219676,482.921,100.432,2.72443,0.666282,419.572,0.311885,0.374769
57,2020/7/23,2020-7-25 9,28.7493,303.431,0.0179525,67.9901,3.21141,269.018,0.0,0.0673094,415.171,100.461,27.0158,8.94526,425.11,111.234,133.662
58,2020/7/23,2020-7-25 10,29.4693,307.07,0.0185787,67.3087,3.64436,266.926,0.0,0.117596,578.816,100.484,96.2323,21.404,427.477,313.687,376.935
59,2020/7/23,2020-7-25 11,29.4693,307.07,0.0185787,67.3087,3.64436,266.926,0.0,0.117596,578.816,100.484,96.2323,21.404,427.477,313.687,376.935
60,2020/7/23,2020-7-25 12,30.7526,310.885,0.0176921,59.2252,3.80233,255.553,0.0,0.0571911,787.271,100.496,164.509,33.9898,430.148,486.255,584.297
61,2020/7/23,2020-7-25 13,31.9225,313.941,0.0173345,53.9899,3.5801,252.232,0.0,0.0174542,1026.49,100.468,210.305,41.6909,433.845,587.99,706.544
62,2020/7/23,2020-7-25 14,32.8143,316.032,0.017154,50.5592,3.54558,244.394,0.0,0.0,1239.98,100.408,242.865,46.3005,441.123,638.933,767.759
63,2020/7/23,2020-7-25 15,33.2019,315.184,0.0163657,47.0737,3.85511,233.16,0.0,0.0805063,1216.94,100.34,216.83,41.863,445.737,538.776,647.407
64,2020/7/23,2020-7-25 16,33.8786,317.166,0.0166451,45.9073,4.08421,227.984,0.0,0.0952978,1352.61,100.266,261.37,49.1619,450.306,643.844,773.66
65,2020/7/23,2020-7-25 17,34.3175,319.691,0.0176304,47.3086,4.49895,217.097,0.0,0.344745,1398.4,100.196,339.587,58.5571,452.149,795.424,955.802
66,2020/7/23,2020-7-25 18,34.3899,318.863,0.018144,48.4425,5.05174,211.72,0.0,0.283246,1375.77,100.136,330.928,52.7531,452.822,695.942,836.263
67,2020/7/23,2020-7-25 19,33.5555,316.027,0.0194988,54.7737,5.67162,199.933,0.0,0.345899,856.18,100.14,284.398,39.8033,456.827,505.539,607.47
68,2020/7/23,2020-7-25 20,32.4668,312.043,0.0200414,60.1728,7.38417,195.869,0.0,0.309779,478.959,100.148,227.033,26.5937,453.169,301.796,362.646
69,2020/7/23,2020-7-25 21,31.5611,308.834,0.0197923,62.8447,6.98654,201.638,0.0,0.415727,325.659,100.193,136.373,14.0745,449.662,121.939,146.525
70,2020/7/23,2020-7-25 22,30.4857,306.308,0.0197635,67.0785,5.69443,200.339,0.0,0.455469,245.461,100.244,73.9956,2.78812,447.228,8.60739,10.3429
71,2020/7/23,2020-7-25 23,29.8527,305.329,0.0201788,71.2576,3.86488,203.105,0.0,0.358053,243.462,100.301,48.2545,0.851034,445.323,0.0,0.0
72,2020/7/24,2020-7-24 0,28.3048,302.296,0.0193045,75.2143,0.853364,180.008,0.0,0.0308851,148.985,100.536,9.78693,0.220029,417.064,0.0,0.0
73,2020/7/24,2020-7-24 1,28.0361,301.909,0.0190562,75.4999,0.984376,204.98,0.0,0.0514607,99.3457,100.539,8.43154,0.225071,417.266,0.0,0.0
74,2020/7/24,2020-7-24 2,28.052,301.742,0.0191973,75.9812,0.989485,207.653,0.0,0.588394,68.7777,100.536,6.29182,0.194228,419.787,0.0,0.0
75,2020/7/24,2020-7-24 3,28.0316,301.604,0.0195471,77.4598,1.00216,227.834,0.0,0.506266,37.2288,100.531,4.925,0.128427,420.703,0.0,0.0
76,2020/7/24,2020-7-24 4,28.2464,301.682,0.0195936,76.6259,1.73729,243.776,0.0,0.0689953,198.629,100.546,3.333,0.159678,420.099,0.0,0.0
77,2020/7/24,2020-7-24 5,27.9388,301.324,0.0196262,78.2568,1.90563,299.904,0.0,0.040733,231.573,100.572,2.75128,0.111962,417.003,0.0,0.0
78,2020/7/24,2020-7-24 6,27.4992,300.883,0.0193119,79.1674,1.98005,292.062,0.0,0.0171124,168.439,100.604,2.73378,0.158303,415.769,1.02121,1.22711
79,2020/7/24,2020-7-24 7,28.6225,303.823,0.0187272,71.6074,2.13681,286.5,0.0,0.0,271.699,100.628,29.141,9.12217,419.702,144.555,173.701
80,2020/7/24,2020-7-24 8,29.6539,308.101,0.0186329,66.848,2.25237,289.565,0.0,0.0,697.402,100.641,92.6862,21.777,423.4,345.187,414.786
81,2020/7/24,2020-7-24 9,29.6539,308.101,0.0186329,66.848,2.25237,289.565,0.0,0.0,697.402,100.641,92.6862,21.777,423.4,345.187,414.786
82,2020/7/24,2020-7-24 10,30.862,312.473,0.0185568,61.8062,2.08436,282.673,0.0,0.0,947.987,100.656,160.182,33.8825,429.804,528.529,635.095
83,2020/7/24,2020-7-24 11,32.0915,316.295,0.017689,54.6181,2.20232,267.987,0.0,0.0,1210.06,100.628,227.593,45.6389,435.088,685.62,823.859
84,2020/7/24,2020-7-24 12,32.9555,319.312,0.0178264,52.1789,2.22977,247.001,0.0,0.0,1377.94,100.571,285.283,53.7913,442.111,799.097,960.216
85,2020/7/24,2020-7-24 13,33.3147,320.49,0.0183123,52.4044,3.5557,137.601,0.0,0.34,1418.49,100.508,359.856,59.0019,446.334,858.859,1032.03
86,2020/7/24,2020-7-24 14,33.333,320.058,0.0186786,53.359,4.14298,125.438,0.0,0.726741,997.121,100.447,367.842,58.9286,445.796,855.546,1028.05
