,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,29.889,304.016,0.0188705,66.7409,4.16382,162.577,0.0,0.0382011,769.903,100.665,20.1377,0.94818,428.278,0.0,0.0,2.40151,20.9208,8.17336,5.27729,8.78723,0.124491
1,29.8736,303.739,0.0175562,62.1551,4.65267,171.978,0.0,0.0588922,682.085,100.671,15.8333,1.14987,427.531,0.0,0.0,1.44834,14.8144,6.49054,4.33106,12.7453,0.109056
2,29.6471,303.419,0.0178738,64.176,4.10031,172.013,0.0,0.0650386,627.078,100.678,12.3363,1.01616,427.428,0.0,0.0,1.27161,13.9154,6.86679,4.40045,12.2296,0.105957
3,29.4555,303.419,0.0189354,68.7958,2.44317,168.135,0.0472242,1.0,636.497,100.675,11.1215,1.89003,442.472,0.0,0.0,0.467429,11.1535,5.259,3.35261,13.78,0.101764
4,28.5189,302.987,0.0198813,76.5791,2.57759,207.884,8.26002,0.935074,490.162,100.714,19.8524,6.53753,458.394,0.0,0.0,0.574856,13.9989,6.05979,3.59303,9.96333,0.104536
5,28.3099,302.312,0.0200875,78.4039,1.50808,201.199,2.73946,0.786406,362.702,100.738,9.94128,2.05434,429.248,0.0,0.0,1.01848,19.7204,10.8618,6.19591,3.65499,0.12259
6,28.7843,302.383,0.0190654,72.2798,3.05125,196.949,0.0,0.378593,378.039,100.772,6.92296,3.8168,429.953,0.0,0.0,1.76498,21.7531,13.4304,7.64338,3.38709,0.14437
7,29.1915,304.598,0.0182142,67.3537,2.55062,208.322,0.0,0.18994,591.17,100.801,36.2961,13.2017,426.906,140.901,169.311,2.09068,17.9904,12.271,7.1784,9.33926,0.151683
8,30.0662,308.409,0.0169427,59.3674,2.54354,206.843,0.0,0.18341,832.749,100.822,96.0534,26.9656,426.406,336.184,403.967,2.8319,15.3822,10.3725,6.25004,15.3661,0.146215
9,30.0662,308.409,0.0169427,59.3674,2.54354,206.843,0.0,0.18341,832.749,100.822,96.0534,26.9656,426.406,336.184,403.967,4.07106,15.2313,9.35186,5.97863,24.8758,0.140817
10,31.2153,312.438,0.0154679,50.5071,2.60394,190.184,0.0,0.0941508,1008.19,100.838,164.461,39.3814,427.465,519.657,624.434,4.19432,15.5359,8.74157,5.96882,44.4317,0.134563
11,32.438,316.151,0.0140606,42.5884,2.51137,181.629,0.0,0.0538522,1303.47,100.818,225.436,51.2019,430.24,672.881,808.552,3.87419,15.3255,9.26369,6.69974,73.8188,0.135756
12,33.4394,319.068,0.013464,38.3485,2.67241,167.47,0.0,0.0312602,1426.81,100.783,281.85,60.2734,432.982,787.407,946.169,3.23262,13.1809,8.74399,6.58254,98.1642,0.133963
13,34.3071,321.194,0.0134111,36.2115,2.88441,156.066,0.0,0.0243073,1582.49,100.727,325.039,66.0644,435.459,858.979,1032.17,3.52231,14.1279,9.0113,7.19106,112.163,0.141049
14,35.1774,322.591,0.0134303,34.3704,2.92156,158.181,0.0,0.0130307,1787.29,100.653,341.959,67.79,434.1,875.991,1052.61,3.03396,19.5257,9.84077,7.76907,104.804,0.150717
15,35.9684,322.863,0.0145415,35.449,3.36857,175.976,0.0,0.0,2060.29,100.588,345.197,65.3523,443.455,825.016,991.361,2.83198,23.3817,8.58074,6.51943,84.9993,0.145888
16,35.2977,315.553,0.0169377,42.9874,6.39518,132.955,0.0,1.0,1594.96,100.556,229.605,30.3172,481.896,232.368,279.22,3.563,18.4342,6.01044,4.56804,78.8638,0.130098
17,35.743,314.451,0.0165536,40.8821,4.53507,170.269,0.0,0.0,1899.93,100.528,140.759,21.9343,484.802,139.321,167.412,4.25521,20.2101,5.63015,4.10742,66.7487,0.133159
18,35.5665,316.091,0.0171226,42.7468,5.51344,182.653,0.0,0.0,1798.98,100.538,217.178,38.2718,453.007,395.335,475.045,4.50282,26.8467,5.75754,3.83567,37.9247,0.137024
19,34.5585,312.731,0.0179738,47.7215,6.06522,187.258,0.0,0.219314,1499.17,100.579,152.382,24.3512,452.111,200.851,241.347,4.16682,30.1976,5.98406,3.74356,13.8135,0.137334
20,33.42,309.25,0.0176953,50.3778,6.01965,191.671,0.0,0.0622471,1188.45,100.628,77.4689,7.80766,446.168,23.4299,28.154,4.57837,28.2586,6.08211,3.72439,5.47627,0.138052
21,32.2212,307.298,0.0176164,53.9901,5.82472,193.284,0.0,0.137627,811.549,100.675,53.327,1.92111,436.141,0.0,0.0,4.75995,25.1561,6.11349,3.68543,3.71936,0.132526
22,31.2484,306.066,0.0180116,58.6106,5.53204,192.61,0.0,0.141173,652.258,100.702,44.079,1.66129,432.954,0.0,0.0,4.75656,22.5828,5.53998,3.34748,4.7134,0.123612
23,30.5779,305.159,0.0174297,59.1071,4.88413,191.837,0.0,0.146696,583.546,100.706,34.0902,1.51686,426.418,0.0,0.0,4.27933,20.0769,5.10054,3.04691,6.21709,0.114762
24,29.8519,304.0013,0.01805026,64.01877,4.043989,199.3519,0.0,0.044266200000000006,576.9951000000001,100.7154,20.201320000000003,1.070408,422.6888,0.0,0.0,3.169899,21.08095,5.319408,3.174649,4.754189,0.119331
25,29.52671,303.5519,0.01885597,68.21582,3.9322049999999997,198.48069999999998,0.0,0.022189170000000005,549.2684,100.7151,17.281010000000002,0.8884161,422.9117,0.0,0.0,2.259686,19.50119,5.396713,3.137726,6.081626000000001,0.11206709
